[ 17:40:06.0147 ] Info:  	Rinegine program start


[ 17:40:06.0148 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 17:40:06.0148 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 17:40:06.0148 ] Info:  	Rinegine init

[ 17:40:06.0148 ] Info:  	Rinegine initialized

[ 17:40:06.0148 ] Info:  	Program start

[ 17:40:06.0148 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:40:06.0154 ] Info:  	rgset is get, checking for suitable

[ 17:40:06.0157 ] Info:  	It is suitable, compile...

[ 17:40:06.0161 ] Info:  	Compile start

[ 17:40:06.0163 ] Info:  	Path to project: ''


[ 17:40:06.0165 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ
