[ 12:49:02.0873 ] Info:  	Rinegine program start


[ 12:49:02.0874 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:49:02.0874 ] Info:  	Rinegine init


[ 12:49:02.0874 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:49:02.0874 ] Info:  	Rinegine initialized

[ 12:49:02.0874 ] Info:  	Program start

[ 12:49:02.0874 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:49:02.0897 ] Info:  	test.rgset is get, checking for suitable

[ 12:49:02.0909 ] Info:  	It is suitable, compile...

[ 12:49:02.0919 ] Info:  	Compile start

[ 12:49:02.0926 ] Info:  	Path to project: ''


[ 12:49:02.0935 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ

[ 12:49:02.0953 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'
