[ 09:54:17.0434 ] Info:  	Rinegine program start


[ 09:54:17.0435 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 09:54:17.0435 ] Info:  	Rinegine init


[ 09:54:17.0435 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 09:54:17.0435 ] Info:  	Rinegine initialized

[ 09:54:17.0435 ] Info:  	Program start

[ 09:54:17.0435 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 09:54:17.0455 ] Info:  	rgset is get, checking for suitable

[ 09:54:17.0466 ] Info:  	It is suitable, compile...

[ 09:54:17.0476 ] Info:  	Compile start

[ 09:54:17.0482 ] Info:  	Path to project: ''


[ 09:54:17.0491 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = true
name=testÿ
