[ 20:30:46.0771 ] Info:  	Rinegine program start


[ 20:30:46.0771 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 20:30:46.0771 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 20:30:46.0771 ] Info:  	Rinegine init

[ 20:30:46.0771 ] Info:  	Rinegine initialized

[ 20:30:46.0771 ] Info:  	Program start

[ 20:30:46.0771 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 20:30:46.0794 ] Info:  	rgset is get, checking for suitable

[ 20:30:46.0804 ] Info:  	It is suitable, compile...

[ 20:30:46.0816 ] Info:  	Compile start

[ 20:30:46.0823 ] Info:  	Path to project: ''


[ 20:30:46.0832 ] Debug:  	File config:
name=test
source=main.cpp
bit=64
run=64
utf
consolÿ

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 20:30:46.0849 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

