[ 18:33:17.0853 ] Info:  	Rinegine program start


[ 18:33:17.0853 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:33:17.0853 ] Info:  	Rinegine init


[ 18:33:17.0853 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:33:17.0853 ] Info:  	Rinegine initialized

[ 18:33:17.0853 ] Info:  	Program start

[ 18:33:17.0853 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:33:17.0877 ] Info:  	rgset is get, checking for suitable

[ 18:33:17.0888 ] Info:  	It is suitable, compile...

[ 18:33:17.0900 ] Info:  	Compile start

[ 18:33:17.0907 ] Info:  	Path to project: ''


[ 18:33:17.0915 ] Debug:  	File config:
name = work
source = main.cpp
bit = 64
run = 64
consol
debug
utfÿ
