[ 17:55:18.0924 ] Info:  	Rinegine program start


[ 17:55:18.0924 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 17:55:18.0924 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 17:55:18.0924 ] Info:  	Rinegine init

[ 17:55:18.0924 ] Info:  	Rinegine initialized

[ 17:55:18.0924 ] Info:  	Program start

[ 17:55:18.0924 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:55:18.0929 ] Info:  	rgset is get, checking for suitable

[ 17:55:18.0932 ] Info:  	It is suitable, compile...

[ 17:55:18.0934 ] Info:  	Compile start

[ 17:55:18.0936 ] Info:  	Path to project: ''


[ 17:55:18.0938 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:55:18.0944 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

