[ 21:04:39.0330 ] Info:  	Rinegine program start


[ 21:04:39.0330 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 21:04:39.0330 ] Info:  	Rinegine init


[ 21:04:39.0330 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 21:04:39.0330 ] Info:  	Rinegine initialized

[ 21:04:39.0330 ] Info:  	Program start

[ 21:04:39.0330 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 21:04:39.0352 ] Info:  	rgset is get, checking for suitable

[ 21:04:39.0363 ] Info:  	It is suitable, compile...

[ 21:04:39.0374 ] Info:  	Compile start

[ 21:04:39.0380 ] Info:  	Path to project: ''


[ 21:04:39.0389 ] Debug:  	File config:
source = source.cpp
bit = 64
name = test
run = 64
consolÿ
