[ 12:32:01.0954 ] Info:  	Rinegine program start


[ 12:32:01.0954 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:32:01.0954 ] Info:  	Rinegine init


[ 12:32:01.0954 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:32:01.0954 ] Info:  	Rinegine initialized

[ 12:32:01.0954 ] Info:  	Program start

[ 12:32:01.0954 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:32:01.0977 ] Info:  	test.rgset is get, checking for suitable

[ 12:32:01.0988 ] Info:  	It is suitable, compile...

[ 12:32:01.0998 ] Info:  	Compile start

[ 12:32:02.0005 ] Info:  	Path to project: ''


[ 12:32:02.0014 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:32:02.0032 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:32:02.0032 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:32:02.0032 ] Debug:  	Memory has been cleared: '686' bytes

