[ 17:39:28.0152 ] Info:  	Rinegine program start


[ 17:39:28.0152 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 17:39:28.0152 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 17:39:28.0152 ] Info:  	Rinegine init

[ 17:39:28.0152 ] Info:  	Rinegine initialized

[ 17:39:28.0152 ] Info:  	Program start

[ 17:39:28.0152 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:39:28.0159 ] Info:  	rgset is get, checking for suitable

[ 17:39:28.0162 ] Info:  	It is suitable, compile...

[ 17:39:28.0166 ] Info:  	Compile start

[ 17:39:28.0168 ] Info:  	Path to project: ''


[ 17:39:28.0170 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ
