[ 21:06:48.0794 ] Info:  	Rinegine program start


[ 21:06:48.0794 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 21:06:48.0794 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 21:06:48.0794 ] Info:  	Rinegine init

[ 21:06:48.0794 ] Info:  	Rinegine initialized

[ 21:06:48.0794 ] Info:  	Program start

[ 21:06:48.0794 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 21:06:48.0800 ] Info:  	rgset is get, checking for suitable

[ 21:06:48.0803 ] Info:  	It is suitable, compile...

[ 21:06:48.0806 ] Info:  	Compile start

[ 21:06:48.0808 ] Info:  	Path to project: ''


[ 21:06:48.0810 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:06:48.0815 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

