[ 12:51:58.0389 ] Info:  	Rinegine program start


[ 12:51:58.0389 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:51:58.0389 ] Info:  	Rinegine init


[ 12:51:58.0389 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:51:58.0389 ] Info:  	Rinegine initialized

[ 12:51:58.0389 ] Info:  	Program start

[ 12:51:58.0389 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:51:58.0412 ] Info:  	test.rgset is get, checking for suitable

[ 12:51:58.0423 ] Info:  	It is suitable, compile...

[ 12:51:58.0433 ] Info:  	Compile start

[ 12:51:58.0440 ] Info:  	Path to project: ''


[ 12:51:58.0449 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ
