[ 18:38:24.0194 ] Info:  	Rinegine program start


[ 18:38:24.0195 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:38:24.0195 ] Info:  	Rinegine init


[ 18:38:24.0195 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 18:38:24.0195 ] Info:  	Rinegine initialized

[ 18:38:24.0195 ] Info:  	Program start

[ 18:38:24.0195 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 18:38:24.0219 ] Info:  	rgset is get, checking for suitable

[ 18:38:24.0229 ] Info:  	It is suitable, compile...

[ 18:38:24.0241 ] Info:  	Compile start

[ 18:38:24.0248 ] Info:  	Path to project: ''


[ 18:38:24.0256 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = true
name=test
utfÿ
