[ 17:48:34.0312 ] Info:  	Rinegine program start


[ 17:48:34.0312 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 17:48:34.0312 ] Info:  	Rinegine init


[ 17:48:34.0312 ] Debug:  	Memory allocate: '38' bytes or '0.000036 MB'


[ 17:48:34.0312 ] Info:  	Rinegine initialized

[ 17:48:34.0312 ] Info:  	Program start

[ 17:48:34.0312 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 17:48:34.0335 ] Info:  	rgset is get, checking for suitable

[ 17:48:34.0346 ] Info:  	It is suitable, compile...

[ 17:48:34.0356 ] Info:  	Compile start

[ 17:48:34.0365 ] Info:  	Path to project: ''


[ 17:48:34.0379 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = true
name=testÿ

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

[ 17:48:34.0452 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 17:48:34.0452 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '286' bytes

[ 17:48:34.0452 ] Debug:  	Memory has been cleared: '686' bytes

