[ 19:39:36.0493 ] Info:  	Rinegine program start


[ 19:39:36.0493 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 19:39:36.0493 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 19:39:36.0493 ] Info:  	Rinegine init

[ 19:39:36.0493 ] Info:  	Rinegine initialized

[ 19:39:36.0493 ] Info:  	Program start

[ 19:39:36.0493 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 19:39:36.0497 ] Info:  	rgset is get, checking for suitable

[ 19:39:36.0499 ] Info:  	It is suitable, compile...

[ 19:39:36.0501 ] Info:  	Compile start

[ 19:39:36.0503 ] Info:  	Path to project: ''


[ 19:39:36.0505 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0507 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 19:39:36.0508 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

