[ 21:51:57.0140 ] Info:  	Rinegine program start


[ 21:51:57.0140 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'

[ 21:51:57.0140 ] Debug:  	Memory allocate: '70' bytes or '0.000067 MB'


[ 21:51:57.0140 ] Info:  	Rinegine init

[ 21:51:57.0140 ] Info:  	Rinegine initialized

[ 21:51:57.0140 ] Info:  	Program start

[ 21:51:57.0140 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 21:51:57.0144 ] Info:  	rgset is get, checking for suitable

[ 21:51:57.0147 ] Info:  	It is suitable, compile...

[ 21:51:57.0149 ] Info:  	Compile start

[ 21:51:57.0151 ] Info:  	Path to project: ''


[ 21:51:57.0154 ] Debug:  	File config:
source=test.cpp
consol
debug
bit=64
run = 64
name=test
utfÿ

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 21:51:57.0157 ] Debug:  	Memory allocate: '366' bytes or '0.000349 MB'

