[ 12:58:55.0195 ] Info:  	Rinegine program start


[ 12:58:55.0196 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:58:55.0196 ] Info:  	Rinegine init


[ 12:58:55.0196 ] Debug:  	Memory allocate: '102' bytes or '0.000097 MB'


[ 12:58:55.0196 ] Info:  	Rinegine initialized

[ 12:58:55.0196 ] Info:  	Program start

[ 12:58:55.0196 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 12:58:55.0219 ] Info:  	test.rgset is get, checking for suitable

[ 12:58:55.0230 ] Info:  	It is suitable, compile...

[ 12:58:55.0240 ] Info:  	Compile start

[ 12:58:55.0247 ] Info:  	Path to project: ''


[ 12:58:55.0256 ] Debug:  	File config:
name = test
bit = 64
run = 64
source = source.cpp
consolÿ

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

[ 12:58:55.0274 ] Debug:  	Memory allocate: '686' bytes or '0.000654 MB'

[ 12:58:55.0274 ] Debug:  	Memory allocate: '286' bytes or '0.000273 MB'

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '286' bytes

[ 12:58:55.0274 ] Debug:  	Memory has been cleared: '686' bytes

